Yr-rec,Yr-died,SP,TAG,x,y,E,N,FAM,SPECIES,Status 2020,DBH 2020,PM'20,Flag 2020,OBSERVATIONS 2020,DBH 2014,PM'14,FLAG'14,OBS'14,DBH 2009,PM'09,OBS'09
2009,,13,437,18,13.3,143,138.3,MORA,Clarisia racemosa,A,25.4,1.3,,,22.8,1.3,,,20.1,,
2009,,13,438,18,12.5,143,137.5,MYRI,Otoba parvifolia,A,23,1.3,,,26.5,1.3,,,24.1,,
2009,2020,13,439,17.5,12,142.5,137,APOC,Himatanthus sucuuba,D,,,MP,,41.3,1.4,,,40.5,1.4,
2009,,13,440,24,15.4,149,140.4,MALV,Apeiba aspera,A,18.8,1.3,,,16.8,1.3,,,13.7,1.4,
2009,,13,441,23.5,20.8,148.5,145.8,MELI,Trichilia maynesiana,A,26.6,1.3,,,22,1.3,,,15.7,1.5,
2009,,13,442,21.6,22.1,146.6,147.1,MELI,guarea cf kunthiana,A,14.25,1.3,I,,13.8,1.3,I,,11,,
2009,,13,443,21.2,23.8,146.2,148.8,BORA,Cordia cf ucayaliensis,A,30,1.3,I,,29.8,1.3,,,24.8,,
2009,2014,13,444,17.7,22,143,147,EUPH,Mabea maynensis,,,,,,,,M,,15,,
2009,,13,445,11.9,22,136.9,147,VIOL,Leonia glycycarpa,A,19.55,1.3,,,17,1.3,,,12.6,,"ramiflorous, small leaves"
2009,,13,446,13.8,19,138.8,144,AREC,Iriartea deltoidea,A,23.15,1.7,,,23.2,1.7,,,22.8,1.7,
2009,,13,447,11.7,14,136.7,139,AREC,Iriartea deltoidea,A,23.4,1.3,,,23.2,1.3,,,23,1.5,
2009,,13,448,7.3,18,132.3,143,LAUR,Caryodaphnopsis fosteri,A,33.2,2.5,,,29.1,2.5,,,26,2.5,estimado
2009,2014,13,449,6,18.2,131,143,AREC,Euterpe precatoria,,,,,,,,MU,,16,,
2009,,13,450,6.5,16.6,131.5,141.6,FABA,Dipteryx micrantha,A,10.5,1.3,,,10.9,1.3,,,10.1,,
2009,,13,451,4.5,16.6,129.5,141.6,AREC,Iriartea deltoidea,A,NM,2.4,,Zancos altos ,18.8,2.4,,,18,2.1,estimado
2009,2014,13,452,1.5,13.4,127,138,MELI,Guarea macrophylla,,,,,,,,MD,,13.9,1.4,
2009,,13,453,0.5,20.4,125.5,145.4,ANAC,Tapirira guianensis,A,NM,3,,Aletas altas ,42.5,3,,estimado,42.5,3,estimado
2009,,14,454,23.7,17.9,123.7,142.9,AREC,Iriartea deltoidea,A,26,1.8,,,25.3,1.8,,,25.6,1.8,
2009,,14,455,21,13.1,121,138.1,MELI,Trichilia solitudinis,A,21.8,1.3,I,,20.3,1.3,,,19.3,,
